id,doi,affiliation_raw,country,country_iso2,source,confidence
10593404,10.1109/IC3SE62002.2024.10593404,"GNA University,Phagwara,Punjab,India",India,IN,crossref,0.9
10392083,10.1109/ICCUBEA58933.2023.10392083,"Vishwakarma Institute of Technology,Department of Artificial Intelligence and Data Science,Pune,India",India,IN,crossref,0.9
10770591,10.1109/OJEMB.2024.3508472,"Vocational School of Technical Sciences, Istanbul University-Cerrahpasa, Istanbul, T&#x00FC;rkiye",,,crossref,0.5
10143123,10.1109/ICIT58465.2023.10143123,"Centre for Data Analytics and Cognition, La Trobe University,Melbourne,Australia",Australia,AU,crossref,0.9
11163176,10.1109/ITAIC64559.2025.11163176,"Tianjin Navigation Instruments Research Institute,Tianjin,China,300131",China,CN,crossref,0.9
10723573,10.1109/COA58979.2024.10723573,"Harbin Engineering University/ Ministry of Transport Harbin, China,College of Underwater Acoustic Engineering/ Rescue and Salvage Bureau,Beijing,China",China,CN,crossref,0.9
8947758,10.1109/CSCI46756.2018.00290,,,,crossref,0.5
9792975,10.1109/ICAAIC53929.2022.9792975,"BE, Computer Engineering Vidyavardhini&#x0027;s College of Engineering and Technology-Vasai,Palghar,India",India,IN,crossref,0.9
9750760,10.1109/IWECAI55315.2022.00037,"Whiting School of Engineering, Johns Hopkins University,Baltimore,MD,United States",United States,US,crossref,0.9
10137971,10.1109/ACAIT56212.2022.10137971,"Hainan University,School of Information and Communication Engineering,Haikou,China",China,CN,crossref,0.9
10115412,10.1109/EMR.2023.3272799,"Nuremberg Institute of Technology, N&#x00FC;rnberg, Germany",Germany,DE,crossref,0.9
10620174,10.1109/ACCESS.2024.3436541,"Library and Information Center, Hunan Railway Professional Technology College, Zhuzhou, China",China,CN,crossref,0.9
10953304,,"{'url': 'https://ieeexplore-ieee-org.crai.referencistas.com/document/10953304', 'isbn': '9781394254255', 'publisher': 'Wiley', 'issn': '', 'doi': '', 'keywords': 'Deepfakes;Generative AI;Web sites;Watermarking;Video on demand;Regulation;Medical services;Ethics;Degradation;Companies', 'abstract': ""Summary <p>Among the many ethical and societal concerns are the propagation of false information and the potential for malicious uses, as well as the risk of us becoming overly dependent on the technology (and thereby losing vital human skills). GenAI gives people and organizations the ability to produce masses of content, making it very easy to spread misinformation or disinformation. Another concern is that we'll become overly dependent on GenAI, which could lead to the withering of key human skills. Many of the big AI companies are of course working to mitigate the ethical challenges surrounding GenAI. Meta, for instance, says it is working with governments, AI experts, and privacy experts to establish \\&\\#x201c;responsible guardrails\\&\\#x201d; for its AI features. And there's the environmental impact of GenAI in terms of the massive energy usage, and the rare earth materials used in the production of AI hardware.</p>"", 'pages': '45-61', 'number': '', 'volume': '', 'year': '2024', 'title': 'RISKS AND CHALLENGES TO MANAGE', 'booktitle': 'Generative AI in Practice: 100+ Amazing Ways Generative Artificial Intelligence is Changing Business and Society', 'author': 'Marr, Bernard', 'ENTRYTYPE': 'inbook', 'ID': '10953304'}",Mali,,heuristic,0.3
11048670,10.1109/TITS.2025.3579407,"School of Information Science and Engineering (School of Cyber Science and Technology), Zhejiang Key Laboratory of Digital Fashion and Data Governance, and Zhejiang Provincial International Cooperation Base for Science and Technology on Cloud Computing Security and Data Aggregation, Zhejiang Sci-tech University, Hangzhou, China",China,CN,crossref,0.9
10605237,10.1109/CAI59869.2024.00100,"School of Computer Science and Engineering Nanyang Technological University,Singapore",Singapore,SG,crossref,0.9
11037821,10.1109/MNET.2025.3580477,"Guangxi Power Grid Company Ltd, Nanning, China",China,CN,crossref,0.9
10917080,10.1109/ICEI63732.2024.10917080,"Big Data Center State Grid Corporation of China,Beijing,China",China,CN,crossref,0.9
10772906,10.1109/CIFEr62890.2024.10772906,"Institute for Development and Research in Banking,Hyderabad,Telangana,India",India,IN,crossref,0.9
10596771,10.1109/MeMeA60663.2024.10596771,"Polytechnic University of Milan,Department of Electrical, Information and Bioengineering,Milan,Italy",Italy,IT,crossref,0.9
9148327,10.1109/IWCMC48107.2020.9148327,,,,crossref,0.5
10739229,10.1109/ICEECT61758.2024.10739229,"Vishwakarma Institute of Information Technology,Dept. of Artificial Intelligence and Data Science,Pune,India",India,IN,crossref,0.9
10265048,10.1109/JIOT.2023.3319630,"Bradley Department of Electrical and Computer Engineering, Virginia Tech, Blacksburg, VA, USA",United States,US,crossref,0.9
9617735,10.1109/ACCESS.2021.3128721,,,,crossref,0.5
9698877,10.1109/ICMIPE53131.2021.9698877,"Dentistry Ministry of Health, Peking University School and Hospital of Stomatology,Center of Digital Dentistry,Beijing,China",China,CN,crossref,0.9
11129384,10.1109/iSTEM-Ed65612.2025.11129384,"RMIT University,School of Sciences, Engineering and Technology,Hanoi,Vietnam",,,crossref,0.5
10745288,,"{'url': 'https://ieeexplore-ieee-org.crai.referencistas.com/document/10745288', 'isbn': '9781633436947', 'publisher': 'Manning', 'issn': '', 'doi': '', 'keywords': 'prompt engineering;model fine tuning;enterprise;safety;ethics;integration;RAG;multi-modality;LLMs;hallucinations;jailbreaks;architectural patterns;ChatGPT;Bard;Copilot', 'abstract': 'Generative AI can transform your business by streamlining the process of creating text, images, and code. This book will show you how to get in on the action! Generative AI in Action is the comprehensive and concrete guide to generative AI you’ve been searching for. It introduces both AI’s fundamental principles and its practical applications in an enterprise context—from generating text and images for product catalogs and marketing campaigns, to technical reporting, and even writing software. Inside, author Amit Bahree shares his experience leading Generative AI projects at Microsoft for nearly a decade, starting well before the current GPT revolution. Inside Generative AI in Action you will find: A practical overview of of generative AI applications Architectural patterns, integration guidance, and best practices for generative AI The latest techniques like RAG, prompt engineering, and multi-modality The challenges and risks of generative AI like hallucinations and jailbreaks How to integrate generative AI into your business and IT strategy Generative AI in Action is full of real-world use cases for generative AI, showing you where and how to start integrating this powerful technology into your products and workflows. You’ll benefit from tried-and-tested implementation advice, as well as application architectures to deploy GenAI in production at enterprise scale.', 'pages': '', 'number': '', 'volume': '', 'year': '2024', 'booktitle': 'Generative AI in Action', 'author': 'Bahree, Amit', 'ENTRYTYPE': 'book', 'ID': '10745288'}",United States,,heuristic,0.3
10955601,10.1002/9781394303601.ch11,,,,crossref,0.5
10776431,10.1109/NTCI64025.2024.10776431,"Institute of Mud Logging Technology and Engineering, Yangtze University,Hubei,China",China,CN,crossref,0.9
10948951,,"{'url': 'https://ieeexplore-ieee-org.crai.referencistas.com/document/10948951', 'isbn': '9788770046190', 'publisher': 'River Publishers', 'issn': '', 'doi': '', 'keywords': '', 'abstract': 'This comprehensive book dives deep into the current landscape of AI, exploring its fundamental principles, development challenges, potential risks, and the cutting-edge breakthroughs that are propelling it forward. Artificial intelligence (AI) is rapidly transforming industries and societies worldwide through groundbreaking innovations and real-world applications. Starting with the core concepts, the book examines the various types of AI systems, generative AI models, and the complexities of machine learning. It delves into the programming languages driving AI development, data pipelines, model creation and deployment processes, while shedding light on issues like AI hallucinations and the intricate path of machine unlearning. The book then showcases the remarkable real-world applications of AI across diverse domains. From preventing job displacement and promoting environmental sustainability, to enhancing disaster response, drone technology, and even nuclear energy innovation, it highlights how AI is tackling complex challenges and driving positive change. The book also explores the double-edged nature of AI, recognizing its tremendous potential while cautioning about the risks of misuse, unintended consequences, and the urgent need for responsible development practices. It examines the intersection of AI and fields like operating system design, warfare, and semiconductor technology, underscoring the wide-ranging implications of this transformative force. As the quest for artificial general intelligence (AGI) and superintelligent AI systems intensifies, the book delves into cutting-edge research, emerging trends, and the pursuit of multimodal, explainable, and causally aware AI systems. It explores the symbiotic relationship between AI and human creativity, the rise of user-friendly ""casual AI,"" and the potential of AI to tackle open-ended tasks. This is an essential guide for understanding the profound impact of AI on our world today and its potential to shape our future. From the frontiers of innovation to the challenges of responsible development, this book offers a comprehensive and insightful exploration of the remarkable real-world applications and innovations driving the AI revolution.', 'pages': 'i-xxx', 'number': '', 'volume': '', 'year': '2025', 'title': 'Artificial Intelligence in Action: Real-World Applications and Innovations', 'booktitle': 'Artificial Intelligence in Action: Real-World Applications and Innovations', 'author': 'Banafa, Ahmed', 'ENTRYTYPE': 'inbook', 'ID': '10948951'}",United States,,heuristic,0.3
11046234,10.1109/ICIET66371.2025.11046234,"Tecnologico de Monterrey, School of Engineering and Science,Mexico",Mexico,MX,crossref,0.9
9562726,10.1002/9781119771579.fmatter,,,,crossref,0.0
10424147,10.1109/ICET59358.2023.10424147,"South China Normal University,School of Educational Information Technology,Guangzhou,China",China,CN,crossref,0.9
10382492,10.1109/TAI.2024.3350543,"Key Laboratory of Image Processing and Intelligent Control, Ministry of Education, School of Artificial Intelligence and Automation, Huazhong University of Science and Technology, Wuhan, China",China,CN,crossref,0.9
10539708,10.1109/EDPEE61724.2024.00079,"Chapman Taylor,China",China,CN,crossref,0.9
10971683,10.1109/SoutheastCon56624.2025.10971683,"Independent Researcher and Solutions Architect,Hudson,MA,USA",United States,US,crossref,0.9
10258299,10.1109/ACCESS.2023.3317897,"Electronics Department, Autonomous Metropolitan University-Azcapotzalco, Mexico City, Mexico",Mexico,MX,crossref,0.9
10654499,10.1109/TETCI.2024.3446690,"Chongqing Key Laboratory of Nonlinear Circuits and Intelligent Information Processing, College of Electronic and Information Engineering, Southwest University, Chongqing, China",China,CN,crossref,0.9
10940581,10.1109/ICPCT64145.2025.10940581,"Graphic Era Hill University,Dept. of Computer Science and Engineering,Dehradun,India",India,IN,crossref,0.9
10823604,10.1109/ICECCE63537.2024.10823604,"School of ICT Convergence Engineering, Kangnam University,South Korea",,,crossref,0.5
10645866,10.1109/ICDH62654.2024.00047,"Peking University,School of Stomatology,Beijing,China",China,CN,crossref,0.9
10536541,10.1109/VRW62533.2024.00229,"University College London,UK",United Kingdom,GB,crossref,0.9
10707920,10.1109/IIAI-AAI63651.2024.00155,"National Taiwan University of Science and Technology,Taipei,Taiwan",,,crossref,0.5
10972906,10.1109/VRW66409.2025.00036,"University of Quebec,Institut National de la Recherche Scientifique,Montreal,Canada",Canada,CA,crossref,0.9
11092216,10.1109/CSTE64638.2025.11092216,"College of Educational Science Yan'an University,Yan&#x2019;an,China",China,CN,crossref,0.9
10811956,10.1109/MNET.2024.3520987,"Southeast University, Nanjing, China",China,CN,crossref,0.9
9261711,10.1109/ICSMD50554.2020.9261711,,,,crossref,0.5
10762540,10.1109/iSemantic63362.2024.10762540,"Nusantara University,School of Information System Bina,Information System Department,Tangerang,Indonesia,15143",Indonesia,ID,crossref,0.9
10761527,10.1109/ICICN62625.2024.10761527,"School of Information Technology Carleton University,Ottawa,ON,Canada",Canada,CA,crossref,0.9
9018815,10.1109/ComComAp46287.2019.9018815,,,,crossref,0.5
10820388,10.1109/LINDI63813.2024.10820388,"Doctoral School of Applied Informatics and Applied Mathematics, Obuda University,Budapest,Hungary",Hungary,HU,crossref,0.9
10664756,10.1109/ISEC61299.2024.10664756,"Irving A. Robbins Middle School,CT,USA",United States,US,crossref,0.9
10880522,10.1002/9781394280735.ch17,,,,crossref,0.5
11159054,10.1109/ICCTDC64446.2025.11159054,"Malla Reddy University,Department of Computer Science,Hyderabad,India",India,IN,crossref,0.9
10500778,10.1109/i-COSTE60462.2023.10500778,"University of Mauritius,Mechanical &#x0026; Production Engineering Department,R&#x00E9;duit,Mauritius",Mauritius,MU,crossref,0.9
10973296,10.1109/MNET.2025.3563262,"College of Computing and Data Science, Nanyang Technological University, Singapore",Singapore,SG,crossref,0.9
10915950,10.1049/icp.2025.0213,New Era University College,,,crossref,0.5
10575055,10.1109/ICAAIC60222.2024.10575055,"GRIET,Dept. of Electronics and Communication Engineering,Hyderabad,India",India,IN,crossref,0.9
9996040,10.1109/ICCR56254.2022.9996040,"Center for Cybersecurity, Universiti Kebangsaan Malaysia,Faculty of Information Science and Technology",Malaysia,MY,crossref,0.9
9236637,10.1109/TIFS.2020.3033184,,,,crossref,0.5
10792726,10.1109/ICIIBMS62405.2024.10792726,"Shanghai Institute Of Technology,School of Economics and Management,Shanghai,CHINA",China,CN,crossref,0.9
10930297,10.1109/IT64745.2025.10930297,"Munzur University,Computer Engineering,Tunceli,Turkiye",,,crossref,0.5
9845345,10.1109/CSP55486.2022.00024,"Morgan State University,Department of Computer Science,Baltimore,USA",United States,US,crossref,0.9
11101561,10.1109/AAIEE64965.2025.11101561,"State Grid Xinjiang Electric Power Co. Ltd,Urumqi,China",China,CN,crossref,0.9
10529221,10.1109/COMST.2024.3400011,"College of Computing and Data Science, Nanyang Technological University, Jurong West, Singapore",Singapore,SG,crossref,0.9
10952212,,"{'url': 'https://ieeexplore-ieee-org.crai.referencistas.com/document/10952212', 'isbn': '9781394205950', 'publisher': 'Wiley', 'issn': '', 'doi': '', 'keywords': 'Artificial intelligence;Generative AI;Technological innovation;Business;Investment;Games;Deep learning;Cloud computing;Vehicle dynamics;Transistors', 'abstract': ""Summary <p>This chapter peels back the layers and explores the underlying factors that played a pivotal role in the rise of generative AI. The rise of generative AI is being significantly propelled by its convergence with other fields\\&\\#x2014;a phenomenon known as technological convergence. Technological convergence is often directional, with one field exerting a greater influence on other. Cloud computing, in its essence, is the great equalizer. It has ushered in an era where computing power, once the exclusive domain of tech behemoths, is now within arm's reach of the many. Quantum computing holds the potential to transform the computational world. Big Data is the main source for modern AI systems, providing the information for machine learning (ML) to get better. The evolution in AI is driven by advanced ML algorithms, an open source culture, and a suite of tools and libraries that streamline AI development.</p>"", 'pages': '219-283', 'number': '', 'volume': '', 'year': '2024', 'title': ""Generative AI's Exponential Growth"", 'booktitle': 'Generative AI: Navigating the Course to the Artificial General Intelligence Future', 'author': 'Musiol, Martin', 'ENTRYTYPE': 'inbook', 'ID': '10952212'}",United States,,heuristic,0.3
11076064,10.1109/JURSE60372.2025.11076064,"KTH Royal Institute of Technology,Geoinformatics Divsion,Stockholm,Sweden",Sweden,SE,crossref,0.9
10981398,10.1109/EDUNINE62377.2025.10981398,"Universidad T&#x00E9;cnica Particular Loja,Ciencias de la Computaci&#x00F3;n,Loja,Ecuador",Ecuador,EC,crossref,0.9
8396171,10.1109/ICAIBD.2018.8396171,,,,crossref,0.5
9820158,10.1109/ICAIBD55127.2022.9820158,"Wuhan University of Technology,School of Computer and Artificial Intelligence,Wuhan,China",China,CN,crossref,0.9
9740494,10.1109/TAI.2022.3161893,"AI/ML and Data Streaming, General Motors Corp, Limerick, Ireland",Ireland,IE,crossref,0.9
9885879,10.1109/ICNLP55136.2022.00048,"Xi&#x2019;an University of Posts and Telecommunications,School of Communication and Information Engineering (School of Artificial Intelligence),Xi&#x2019;an,China",China,CN,crossref,0.9
10947318,10.1109/MCG.2025.3555122,"The Hong Kong University of Science and Technology (Guangzhou), Guangzhou, China",China,CN,crossref,0.9
11158640,10.1109/ASSIC64892.2025.11158640,"Kalinga Institute of Industrial Technology, Deemed to be University,Computer Science and Engineering,Odisha,India",India,IN,crossref,0.9
10597596,10.1109/TAI.2024.3428519,"Security and Optimization for Networked Globe Laboratory (SONG Lab), Department of Information Systems, University of Maryland, Baltimore County, Baltimore, MD, USA",United States,US,crossref,0.9
10545728,10.1109/ICCECT60629.2024.10545728,"Shandong University of Technology,Department of Social Work at Law School,Zibo,Shandong,China",China,CN,crossref,0.9
9328201,10.1109/TGRS.2020.3044312,,,,crossref,0.5
9968292,10.1109/TII.2022.3226246,"Department of Automation, University of Science and Technology of China, Anhui, China",China,CN,crossref,0.9
10623893,10.1109/JSTARS.2024.3439022,"School of Mathematical Sciences, University of Electronic Science and Technology of China, Chengdu, China",China,CN,crossref,0.9
9585485,10.1109/ACCESS.2021.3122834,,,,crossref,0.5
10790428,,"{'url': 'https://ieeexplore-ieee-org.crai.referencistas.com/document/10790428', 'isbn': '9783111324166', 'publisher': 'De Gruyter', 'issn': '', 'doi': '', 'keywords': '', 'abstract': '', 'pages': 'V-VI', 'number': '', 'volume': '', 'year': '2024', 'title': 'Preface', 'booktitle': 'Toward Artificial General Intelligence: Deep Learning, Neural Networks, Generative AI', 'ENTRYTYPE': 'inbook', 'ID': '10790428'}",,,,0.0
10790363,,"{'url': 'https://ieeexplore-ieee-org.crai.referencistas.com/document/10790363', 'isbn': '9783111324166', 'publisher': 'De Gruyter', 'issn': '', 'doi': '', 'keywords': '', 'abstract': '', 'pages': 'I-IV', 'number': '', 'volume': '', 'year': '2024', 'title': 'Frontmatter', 'booktitle': 'Toward Artificial General Intelligence: Deep Learning, Neural Networks, Generative AI', 'ENTRYTYPE': 'inbook', 'ID': '10790363'}",,,,0.0
10880526,10.1002/9781394280735.ch11,,,,crossref,0.5
10952190,,"{'url': 'https://ieeexplore-ieee-org.crai.referencistas.com/document/10952190', 'isbn': '9781394205950', 'publisher': 'Wiley', 'issn': '', 'doi': '', 'keywords': '', 'abstract': '', 'pages': '405-406', 'number': '', 'volume': '', 'year': '2024', 'title': 'Acknowledgments', 'booktitle': 'Generative AI: Navigating the Course to the Artificial General Intelligence Future', 'author': 'Musiol, Martin', 'ENTRYTYPE': 'inbook', 'ID': '10952190'}",United States,,heuristic,0.3
10951024,,"{'url': 'https://ieeexplore-ieee-org.crai.referencistas.com/document/10951024', 'isbn': '9781394205950', 'publisher': 'Wiley', 'issn': '', 'doi': '', 'keywords': '', 'abstract': '', 'pages': '407-407', 'number': '', 'volume': '', 'year': '2024', 'title': 'About the Author', 'booktitle': 'Generative AI: Navigating the Course to the Artificial General Intelligence Future', 'author': 'Musiol, Martin', 'ENTRYTYPE': 'inbook', 'ID': '10951024'}",United States,,heuristic,0.3
10400626,10.1049/icp.2023.2968,"School of Physics and Electronic Information, Yantai University, Yantai, People's Republic of China Shandong Data Open Innovation Application Laboratory of Smart grid Advanced Technology, Yantai University, Yantai, People's Republic of China",China,CN,crossref,0.9
10790418,,"{'url': 'https://ieeexplore-ieee-org.crai.referencistas.com/document/10790418', 'isbn': '9783111324166', 'publisher': 'De Gruyter', 'issn': '', 'doi': '', 'keywords': '', 'abstract': '', 'pages': 'VII-VIII', 'number': '', 'volume': '', 'year': '2024', 'title': 'Contents', 'booktitle': 'Toward Artificial General Intelligence: Deep Learning, Neural Networks, Generative AI', 'ENTRYTYPE': 'inbook', 'ID': '10790418'}",,,,0.0
10219618,10.1109/ICME55011.2023.00094,"Beijing University of Posts and Telecommunications,School of Integrated Circuits,Beijing,China",China,CN,crossref,0.9
10589960,10.1109/CSTE62025.2024.00031,"Shaanxi Normal University,Faculty of Education,Xi&#x0027;an,China",China,CN,crossref,0.9
10538552,10.1109/TrustCom60117.2023.00297,"081 Electronic Group Co., Ltd,Chengdu,China",China,CN,crossref,0.9
10578788,10.1109/EDUCON60312.2024.10578788,"Linnaeus university,Applied loT Lab,Department of Computer Science and Media Technology,Kalmar,Sweden",Sweden,SE,crossref,0.9
10759962,10.1109/SCISISIS61014.2024.10759962,"Toyama Prefectural University,Department of Electrical and Computer Engineering,Toyama,Japan",Japan,JP,crossref,0.9
10970365,10.1109/ACIIW63320.2024.00030,"University of Pernambuco,Recife,Brazil",Brazil,BR,crossref,0.9
11114593,10.1109/ICBC64466.2025.11114593,"Osnabr&#x00FC;ck University,Osnabr&#x00FC;ck,Germany",Germany,DE,crossref,0.9
10937960,10.1109/MC.2024.3524302,"Department of Computer and Information Science, Fordham University, New York, NY, USA",United States,US,crossref,0.9
10812969,10.1109/MCOM.001.2400284,"Queen Mary University of London,U.K.",,,crossref,0.5
11108609,10.1109/PRMVAI65741.2025.11108609,"School of Artificial Intelligence, Nanjing University of Aeronautics &#x0026; Astronautics,Nanjing,China,211106",China,CN,crossref,0.9
9421640,10.1109/ICMCCE51767.2020.00326,,,,crossref,0.5
10605388,10.1109/CAI59869.2024.00133,"Nanyang Technological University,National Institute of Education,Singapore",Singapore,SG,crossref,0.9
11008623,10.1109/TDSC.2025.3572115,"The University of Western Australia, Crawley, WA, Australia",Australia,AU,crossref,0.9
11155671,10.1109/SKIMA66621.2025.11155671,"University of the West of Scotland,School of Computing, Engineering and Physical Sciences,Paisley,United Kingdom",United Kingdom,GB,crossref,0.9
10853651,10.1049/icp.2024.4190,"School of Computer Science and Technology, Qilu University of Technology, Jinan, Shandong, 250353, People's Republic of China",China,CN,crossref,0.9
10752923,10.1109/TAI.2024.3497915,"Centre for Frontier AI Research, Agency for Science, Technology and Research (A*STAR), Singapore",Singapore,SG,crossref,0.9
10419357,10.1109/ACCESS.2024.3361946,"Department of Big Data Analytics, Kyung Hee University, Seoul, South Korea",,,crossref,0.5
9088157,10.1109/ACCESS.2020.2992887,,,,crossref,0.5
9174804,10.1109/TIM.2020.3017036,,,,crossref,0.5
10374245,10.1109/TBIOM.2023.3346938,"Institute of Smart Systems and Artificial Intelligence, Nazarbayev University, Astana, Kazakhstan",Kazakhstan,KZ,crossref,0.9
10489368,10.1109/RICAI60863.2023.10489368,"College of Computing and Information Technologies, National University,Manila,Philippines",Philippines,PH,crossref,0.9
10956665,10.1109/IC363308.2025.10956665,"North Eastern Regional Institute of Science and Technology,Department of Computer Science and Engineering,Nirjuli,Arunachal Pradesh",,,crossref,0.5
10877597,10.1109/IC3TES62412.2024.10877597,"Chitkara University Institute of Engineering &amp; Technology, Chitkara University,Punjab,India",India,IN,crossref,0.9
9381694,10.1109/TCYB.2021.3062396,"School of Artificial Intelligence and Computer Science, Jiangnan University, Wuxi, China",China,CN,crossref,0.9
9442206,10.1109/INDIN45582.2020.9442206,,,,crossref,0.5
10625113,10.1109/ICSCSS60660.2024.10625113,"Vishwakarma Institute of Technology,Department of Artificial Intelligence and Data Science,Pune,India",India,IN,crossref,0.9
10649956,10.1109/IJCNN60899.2024.10649956,"Silesian University of Technology,Faculty of Applied Mathematics,Gliwice,Poland,44-100",Poland,PL,crossref,0.9
10604540,10.1109/ICAIBD62003.2024.10604540,"School of Computing and Artificial Intelligence, Southwest Jiaotong University,Chengdu,China",China,CN,crossref,0.9
9402449,10.1109/ICCCI50826.2021.9402449,,,,crossref,0.5
10309274,10.1109/MSPEC.2023.10309274,,,,crossref,0.5
11036309,10.1109/ICSC64641.2025.00053,Purdue University Global,,,crossref,0.5
